"","Comp1","Comp2"
"nototheniid_gobinotothen_gibberifrons",-0.0841067022584662,0.0140762366097967
"notothenia_corriceps-nototheniidae",0.0180323020982553,-0.0153011344501963
"harpagifer_antarcticus-harpagiferidae",0.0124788742342753,-0.0202991802174671
"artedidraco_skottsbergi-artedidraconidae",-0.0883195144204048,0.0165867233639739
"artedidraco_mirus-artedidraconidae",-0.0872679678713817,0.0188392000877302
"dolloidraco_longedorsalis-artedidraconidae",-0.101538014514058,-0.0125854051398364
"histiodraco_velifer-artedidraconidae",0.024452443209809,-0.0428198609175649
"pogonophryne_scotti-artedidraconidae",-0.0377754455026097,0.0411204756684732
"pogonophryne_fusca-nototheniidae",0.048927050997077,0.0108958926222968
"pogonophryne_barsukovi-artedidraconidae",-0.0755033141432021,-0.00923791025868362
"pogonophryne_marmorata-artedidraconidae",0.015187459777292,0.00338177709174856
"pogonophryne_cerebropogon-nototheniidae",-0.00172965668694233,-0.0600253118736765
"pogonophryne_macropogon-artedidraconidae",0.00982580677649057,-0.0559684408772453
"pogonophryne_immaculata-nototheniidae",0.00951515089751266,0.00273116988268761
"champsocephalus_esox-channichthyidae",-0.0419618559556696,-0.0774773962517064
"champsocephalus_gunnari-channichthyidae",0.00124633058511607,-0.0669813386979801
"dacodraco_hunteri-channichthyidae",-0.0860434749299964,0.0616122250593331
"pseudochaenichthys_georgianus-channichthyidae",-0.0760180778001216,0.0695417463832045
"pagetopsis_macropterus-channichthyidae",0.0418610833905182,0.0415045310125383
"chaenodraco_wilsoni-channichthyidae",0.0722970847252478,0.0657472081896964
"chiondraco_myersi-channichthyidae",0.06446593729431,0.0724361231069063
"chionodraco_rastrospinosus-channichthyidae",0.0657174778886161,0.0707756222014948
"c_hamatus-artedidraconidae",-0.0944477845862244,-0.0206276763786458
"chaenocephalus_aceratus-channichthyidae",-0.104350366426404,0.00529938396287312
"cryodraco_antarcticus-channichthyidae",-0.0989394643560075,0.0178550063188819
"chionobathyscus_dewitti-channichthyidae",-0.0897166589382622,0.0635767652535651
"prionodraco_evansii-artedidraconidae",-0.021638394891644,0.0253970814018399
"racovitzia_glacialis-artedidraconidae",-0.00346610442264082,0.00615712194759615
"akarotaxis_nudiceps-bathydraconidae",0.00583493116748709,0.00840360746280893
"bathydraco_antarcticus-bathydraconidae",-0.0164380240246259,-0.00553152114018936
"bathydraco_macrolepis-bathydraconidae",0.0116742034641186,0.0351461147835679
"bathydraco_marri-bathydraconidae",0.0013816669590684,0.0321674347039438
"vomeridens_infuscipinnis-artedidraconidae",-0.00750605664468587,0.0511935300300637
"gerlachea_australis-artedidraconidae",-0.045267563846706,-0.00332022622509269
"parachaenichthys_charcoti",-0.0109026036255583,0.0625032830563479
"parachaenichthys_georgianus",0.0371398242125413,0.0803948904845447
"cygnodraco_mawsoni-artedidraconidae",0.0310889752180073,0.0869755070056414
"gymnodraco_acuticeps-bathydraconidae",0.0343073309695027,-0.012301477944587
"nototheniids_pleuragramma_antarcticum",0.0751893791882175,0.0737079613800019
"nototheniid_dissostichus_mawsoni",0.0574120077752188,-0.0502466173747744
"nototheniids_dissostichus_eleginoides",0.0523653528721585,0.0540196613997062
"nototheniids_aethotaxis_mitopteryx",0.0574818788936648,0.0548291903764615
"lepi_squa-trematominae",0.0542201129269247,0.0576874560497849
"patagonotothen_sima-trematominae",-0.00248734443971814,-0.056181018751519
"patagonotothen_elegans-trematominae",0.0336777035405442,-0.0619352630737461
"patagontothen_ramsayi-trematominae",0.0166442181908225,-0.0547873494213091
"patagonotothen_guntheri-trematominae",-0.0819699384248294,-0.0581474001034905
"patagonotothen_tesselata-trematominae",0.000527573983560627,-0.0381183856280006
"lepi_lars-trematominae",0.00214333509275651,-0.0507584455804038
"lepi_nudi-trematominae",-0.00759413569040375,-0.0195279767457444
"trematomus_scotti-trematominae",-0.00234636269885857,-0.0430764024086707
"trematomus_borsch-trematominae",0.0629251322921364,-0.0348171243420473
"trematomus_newnesi-trematominae",0.0312107264887379,-0.0111890179391561
"trematomus_nicolai-trematominae",0.0348067558653566,-0.0475107774080394
"trematomus_pennelii-trematominae",0.0462117184853298,-0.0495483040677577
"trematomus_tokarevi-trematominae",0.0304755517915783,-0.04500233724274
"trematomus_bernacchii-trematominae",0.0627519048257577,-0.0370593078618007
"trematomus_hansoni-trematominae",0.0705353252736761,-0.0303855429073558
"trematomus_eulepidotus-trematominae",0.032163307629705,-0.0426411274567015
"nototheniids_trematomus_lepidorhinus",0.00757282929846391,-0.0338659719915437
"trematomus_loenbergii-trematominae",0.0335860788195659,-0.0372876762198375
