"","X","Comp1","Comp2","Size"
"akarotaxis_nudiceps-bathydraconidae","akarotaxis_nudiceps-bathydraconidae",0.00583493116748709,0.00840360746280895,24
"artedidraco_skottsbergi-artedidraconidae","artedidraco_skottsbergi-artedidraconidae",-0.0883195144204048,0.0165867233639738,15.5
"bathydraco_antarcticus-bathydraconidae","bathydraco_antarcticus-bathydraconidae",-0.0164380240246259,-0.00553152114018935,23
"bathydraco_marri-bathydraconidae","bathydraco_marri-bathydraconidae",0.0013816669590684,0.0321674347039438,25
"chaenocephalus_aceratus-channichthyidae","chaenocephalus_aceratus-channichthyidae",-0.104350366426405,0.00529938396287307,72
"chaenodraco_wilsoni-channichthyidae","chaenodraco_wilsoni-channichthyidae",0.0722970847252478,0.0657472081896965,9.5
"champsocephalus_gunnari-channichthyidae","champsocephalus_gunnari-channichthyidae",0.00124633058511606,-0.0669813386979801,66
"chiondraco_myersi-channichthyidae","chiondraco_myersi-channichthyidae",0.06446593729431,0.0724361231069063,21
"chionobathyscus_dewitti-channichthyidae","chionobathyscus_dewitti-channichthyidae",-0.0897166589382622,0.0635767652535651,52
"chionodraco_rastrospinosus-channichthyidae","chionodraco_rastrospinosus-channichthyidae",0.0657174778886162,0.0707756222014949,62
"cryodraco_antarcticus-channichthyidae","cryodraco_antarcticus-channichthyidae",-0.0989394643560075,0.0178550063188819,60
"dacodraco_hunteri-channichthyidae","dacodraco_hunteri-channichthyidae",-0.0860434749299965,0.061612225059333,30
"dolloidraco_longedorsalis-artedidraconidae","dolloidraco_longedorsalis-artedidraconidae",-0.101538014514058,-0.0125854051398365,200
"gerlachea_australis-artedidraconidae","gerlachea_australis-artedidraconidae",-0.045267563846706,-0.0033202262250927,34.5
"gymnodraco_acuticeps-bathydraconidae","gymnodraco_acuticeps-bathydraconidae",0.0343073309695027,-0.012301477944587,38.5
"harpagifer_antarcticus-harpagiferidae","harpagifer_antarcticus-harpagiferidae",0.0124788742342753,-0.020299180217467,41
"lepi_lars-trematominae","lepi_lars-trematominae",0.00214333509275651,-0.0507584455804038,28
"lepi_nudi-trematominae","lepi_nudi-trematominae",-0.00759413569040375,-0.0195279767457444,24
"lepi_squa-trematominae","lepi_squa-trematominae",0.0542201129269248,0.057687456049785,19.5
"notothenia_corriceps-nototheniidae","notothenia_corriceps-nototheniidae",0.0180323020982553,-0.0153011344501963,55
"nototheniid_dissostichus mawsoni-artedidraconidae","nototheniid_dissostichus mawsoni-artedidraconidae",0.0574120077752188,-0.0502466173747744,48.7
"nototheniid_gobinotothen gibberifrons-artedidraconidae","nototheniid_gobinotothen gibberifrons-artedidraconidae",-0.0841067022584663,0.0140762366097967,13.6999998092651
"nototheniids_aethotaxis mitopteryx-artedidraconidae","nototheniids_aethotaxis mitopteryx-artedidraconidae",0.0574818788936649,0.0548291903764615,26.6000003814697
"nototheniids_pleuragramma antarcticum-artedidraconidae","nototheniids_pleuragramma antarcticum-artedidraconidae",0.0751893791882175,0.0737079613800019,12
"pagetopsis macropterus-channichthyidae","pagetopsis macropterus-channichthyidae",0.0418610833905182,0.0415045310125383,43
"parachaenichthys_charcoti-artedidraconidae","parachaenichthys_charcoti-artedidraconidae",-0.0109026036255583,0.0625032830563479,42
"pogonophryne_barsukovi-artedidraconidae","pogonophryne_barsukovi-artedidraconidae",-0.0755033141432021,-0.00923791025868365,44.2999992370605
"pogonophryne_macropogon-artedidraconidae","pogonophryne_macropogon-artedidraconidae",0.00982580677649057,-0.0559684408772453,30.3999996185303
"pogonophryne_marmorata-artedidraconidae","pogonophryne_marmorata-artedidraconidae",0.015187459777292,0.00338177709174856,20
"pogonophryne_scotti-artedidraconidae","pogonophryne_scotti-artedidraconidae",-0.0377754455026097,0.0411204756684732,33
"prionodraco_evansii-artedidraconidae","prionodraco_evansii-artedidraconidae",-0.0216383948916441,0.0253970814018399,34
"pseudochaenichthys georgianus-channichthyidae","pseudochaenichthys georgianus-channichthyidae",-0.0760180778001216,0.0695417463832045,31
"racovitzia_glacialis-artedidraconidae","racovitzia_glacialis-artedidraconidae",-0.00346610442264083,0.00615712194759616,22
"trematomus_bernacchii-trematominae","trematomus_bernacchii-trematominae",0.0627519048257577,-0.0370593078618007,27.1000003814697
"trematomus_eulepidotus-trematominae","trematomus_eulepidotus-trematominae",0.032163307629705,-0.0426411274567015,60
"trematomus_hansoni-trematominae","trematomus_hansoni-trematominae",0.0705353252736762,-0.0303855429073558,55
"trematomus_loenbergii-trematominae","trematomus_loenbergii-trematominae",0.0335860788195659,-0.0372876762198375,39.2000007629395
"trematomus_newnesi-trematominae","trematomus_newnesi-trematominae",0.0312107264887379,-0.0111890179391561,29.7000007629395
"trematomus_nicolai-trematominae","trematomus_nicolai-trematominae",0.0348067558653566,-0.0475107774080394,36
"trematomus_pennelii-trematominae","trematomus_pennelii-trematominae",0.0462117184853298,-0.0495483040677577,13
"trematomus_scotti-trematominae","trematomus_scotti-trematominae",-0.00234636269885858,-0.0430764024086707,24.7000007629395
"trematomus_tokarevi-trematominae","trematomus_tokarevi-trematominae",0.0304755517915783,-0.04500233724274,22.3999996185303
"vomeridens_infuscipinnis-artedidraconidae","vomeridens_infuscipinnis-artedidraconidae",-0.00750605664468587,0.0511935300300637,22
