"","Old","Comp1","Comp2","New","SizeData","LogSize"
"artedidraco_skottsbergi-artedidraconidae","artedidraco_skottsbergi-artedidraconidae",-0.0883195144204048,0.0165867233639738,"Artedidraco skottsbergi",12,2.484906649788
"bathydraco_antarcticus-bathydraconidae","bathydraco_antarcticus-bathydraconidae",-0.0164380240246259,-0.00553152114018935,"Bathydraco antarcticus",24,3.17805383034795
"bathydraco_marri-bathydraconidae","bathydraco_marri-bathydraconidae",0.0013816669590684,0.0321674347039438,"Bathydraco marri",23,3.13549421592915
"chaenocephalus_aceratus-channichthyidae","chaenocephalus_aceratus-channichthyidae",-0.104350366426405,0.00529938396287307,"Chaenocephalus aceratus",72,4.27666611901606
"chaenodraco_wilsoni-channichthyidae","chaenodraco_wilsoni-channichthyidae",0.0722970847252478,0.0657472081896965,"Chaenodraco wilsoni",43,3.76120011569356
"champsocephalus_gunnari-channichthyidae","champsocephalus_gunnari-channichthyidae",0.00124633058511606,-0.0669813386979801,"Champsocephalus gunnari",66,4.18965474202643
"dacodraco_hunteri-channichthyidae","dacodraco_hunteri-channichthyidae",-0.0860434749299965,0.061612225059333,"Dacodraco hunteri",30.3999996185303,3.41444259586383
"gymnodraco_acuticeps-bathydraconidae","gymnodraco_acuticeps-bathydraconidae",0.0343073309695027,-0.012301477944587,"Gymnodraco acuticeps",38.5,3.65065824129374
"lepi_nudi-trematominae","lepi_nudi-trematominae",-0.00759413569040375,-0.0195279767457444,"Nototheniops nudifrons",19.5,2.9704144655697
"lepi_squa-trematominae","lepi_squa-trematominae",0.0542201129269248,0.057687456049785,"Lepidonotothen squamifrons",55,4.00733318523247
"notothenia_corriceps-nototheniidae","notothenia_corriceps-nototheniidae",0.0180323020982553,-0.0153011344501963,"Notothenia coriiceps",62,4.12713438504509
"pogonophryne_barsukovi-artedidraconidae","pogonophryne_barsukovi-artedidraconidae",-0.0755033141432021,-0.00923791025868365,"Pogonophryne barsukovi",25,3.2188758248682
"pogonophryne_macropogon-artedidraconidae","pogonophryne_macropogon-artedidraconidae",0.00982580677649057,-0.0559684408772453,"Pogonophryne macropogon",34,3.52636052461616
"pogonophryne_marmorata-artedidraconidae","pogonophryne_marmorata-artedidraconidae",0.015187459777292,0.00338177709174856,"Pogonophryne marmorata",21,3.04452243772342
"prionodraco_evansii-artedidraconidae","prionodraco_evansii-artedidraconidae",-0.0216383948916441,0.0253970814018399,"Prionodraco evansii",15.5,2.7408400239252
"racovitzia_glacialis-artedidraconidae","racovitzia_glacialis-artedidraconidae",-0.00346610442264083,0.00615712194759616,"Racovitzia glacialis",27.1000003814697,3.29953374196203
"trematomus_bernacchii-trematominae","trematomus_bernacchii-trematominae",0.0627519048257577,-0.0370593078618007,"Trematomus bernacchii",28,3.3322045101752
"trematomus_newnesi-trematominae","trematomus_newnesi-trematominae",0.0312107264887379,-0.0111890179391561,"Trematomus newnesi",20,2.99573227355399
"trematomus_nicolai-trematominae","trematomus_nicolai-trematominae",0.0348067558653566,-0.0475107774080394,"Trematomus nicolai",36,3.58351893845611
"trematomus_pennelii-trematominae","trematomus_pennelii-trematominae",0.0462117184853298,-0.0495483040677577,"Trematomus pennellii",29.7000007629395,3.39114707149685
"trematomus_scotti-trematominae","trematomus_scotti-trematominae",-0.00234636269885858,-0.0430764024086707,"Trematomus scotti",24.7000007629395,3.20680327452217
"trematomus_tokarevi-trematominae","trematomus_tokarevi-trematominae",0.0304755517915783,-0.04500233724274,"Trematomus tokarevi",22.3999996185303,3.1090609418311
"vomeridens_infuscipinnis-artedidraconidae","vomeridens_infuscipinnis-artedidraconidae",-0.00750605664468587,0.0511935300300637,"Vomeridens infuscipinnis",22,3.09104245335832
